Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2004-11-16,16,11,2004,"1,034",953,990,723,"1,149","1,396","1,703",993,"1,066",888,"1,046","1,184","1,090","2,839","1,946","3,373","1,894","1,945","1,185","1,562"
2004-12-02,2,12,2004,"1,125","1,228","1,656",757,"1,346","1,440","1,870","1,279","1,146",869,"1,210",807,667,"2,731","2,030","2,135","1,533","1,878","1,227","1,673"
2004-12-18,18,12,2004,"1,221","1,095","1,284",740,"1,384","1,456","1,886","1,602","1,217",750,"1,107","1,215","1,231","3,056","3,466","2,441","3,383","2,722","1,178","1,678"
2005-01-01,1,1,2005,"1,221","1,054","1,590",791,"1,384","1,630","2,292","1,602","1,058",823,"1,709","1,348","1,356","5,227","2,656","2,716","2,614","2,790","1,237","1,757"
2005-01-17,17,1,2005,"1,144","1,031","1,342","1,085","1,257","1,572","1,891","1,298","1,094",781,"1,516","1,370","1,102","4,229","3,695","2,564","3,122","2,307","1,248","1,901"
2005-02-02,2,2,2005,"1,069",922,"1,127",667,"1,330","1,575","1,726","1,056","1,134",821,"1,356","1,383","1,342","4,167","3,864","2,656","3,363","2,551","1,252","1,665"
2005-02-18,18,2,2005,"1,012",899,"1,050",736,"1,159","1,573","1,888","1,039","1,090",769,"1,305","1,243","1,481","2,891","2,794","1,890","2,854","2,202","1,317","1,950"
2005-03-06,6,3,2005,"1,207",964,"1,027",752,"1,556","1,831","1,955","1,446","1,130",850,"1,364","1,412","1,443","2,383","2,414","2,397","2,677","2,506","1,526","2,046"
2005-03-22,22,3,2005,"1,669","1,368","1,784","1,059","1,932","2,259","2,155","2,743","1,395","1,016","1,582","1,606","1,752","4,587","3,702","2,698","2,510","2,533","1,771","2,949"
2005-04-07,7,4,2005,"1,650","1,573","1,779","1,445","2,248","3,213","2,776","2,816","2,463",425,"2,874","2,094","2,288","4,644","4,504","4,091","3,874","3,845","2,425","4,122"
2005-04-23,23,4,2005,"1,526","1,331","1,636","1,064","2,650","2,791","3,032","2,009","2,435","1,213","2,512","1,819","2,541","5,258","4,487","5,318","3,215","4,947","3,784","4,303"
